OTU ID	Consensus Lineage
356	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micromonosporineae;Micromonosporaceae
359	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp4
360	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Mycobacteriaceae;Mycobacterium
370	Proteobacteria
371	Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes
374	Firmicutes;Bacilli;Bacillales
376	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Pseudonocardineae;Pseudonocardiaceae;Pseudonocardia
380	
382	
383	Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridiaceae 1;Clostridium
384	Proteobacteria;Alphaproteobacteria;Rhizobiales
389	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp7
396	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
397	Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Aquicella
398	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae
402	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp3
406	Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Niastella
412	TM7;TM7_genera_incertae_sedis
414	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp6
418	Actinobacteria;Actinobacteria;Rubrobacteridae;Rubrobacterales;Rubrobacterineae;Rubrobacteraceae;Rubrobacter
422	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Nocardioidaceae;Nocardioides
423	
426	
430	
438	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae
450	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp4
453	Proteobacteria;Alphaproteobacteria;Rhizobiales
462	Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillaceae 1;Bacillus;Bacillus d
463	
464	Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Spirosoma
465	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax
469	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp4
472	
476	Proteobacteria;Alphaproteobacteria;Rhizobiales
481	Proteobacteria
483	Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter
487	Actinobacteria;Actinobacteria;Rubrobacteridae;Rubrobacterales;Rubrobacterineae;Rubrobacteraceae
488	
